,Make,Model,Price (£),Mileage,Registration Year,Registration Month,Gearbox,Fuel Type,N of Owners
0,Ford,Ka,6350,56530,2016,4,Manual,Petrol,3
1,Citroen,C4,6750,50727,2015,9,Manual,Petrol,1
2,Suzuki,Celerio,6800,23190,2017,3,Manual,Petrol,3
3,Dacia,Sandero,n/a,10837,2016,5,Manual,Petrol,1
4,Suzuki,Celerio,7000,23778,2016,3,Manual,Petrol,1
5,Fiat,500,7000,41216,2015,9,Manual,Petrol,3
6,Toyota,AYGO,7250,55659,2018,3,Manual,Petrol,4
7,Citroen,C1,7300,29950,2016,11,Manual,Petrol,2
8,Fiat,500,7450,35522,2016,3,Manual,Petrol,2
9,Vauxhall,Astra GTC,7500,42517,2015,10,Manual,Petrol,4
10,Dacia,Sandero,7600,27495,2018,3,Manual,Petrol,3
11,Toyota,AYGO,7600,36463,2016,9,Manual,Petrol,2
12,Kia,Picanto,7600,36057,2016,6,Manual,Petrol,3
13,Vauxhall,Viva,7650,16550,2016,3,Manual,Petrol,3
14,Ford,Ka,7650,28293,2016,5,Manual,Petrol,2
15,Vauxhall,Astra,7700,98663,2017,8,Manual,Diesel,1
16,Vauxhall,Astra,7700,96104,2017,7,Manual,Diesel,1
17,Vauxhall,Corsa,7700,38500,2016,7,Manual,Petrol,3
18,Ford,Fiesta,7750,61086,2017,6,Manual,Petrol,3
19,Fiat,500,7750,38115,2016,9,Manual,Petrol,4
20,Vauxhall,Corsa,7800,62536,2017,3,Manual,Petrol,3
21,Fiat,500,7800,17693,2016,3,Manual,Petrol,2
22,Fiat,500,7800,23006,2016,3,Manual,Petrol,2
23,Fiat,500,7850,47463,2015,10,Manual,Petrol,2
24,Toyota,AYGO,7850,33907,2016,3,Manual,Petrol,4
25,Fiat,500,7900,52939,2016,3,Manual,Petrol,3
26,Toyota,AYGO,7900,36871,2018,12,Manual,Petrol,1
27,Fiat,500,7900,33133,2018,1,Manual,Petrol,1
28,Ford,Fiesta,7950,41048,2016,6,Manual,Petrol,3
29,Toyota,AYGO,7950,22523,2016,5,Manual,Petrol,3
30,Ford,Fiesta,8000,59500,2016,5,Manual,Petrol,1
31,Fiat,500,8000,27119,2016,5,Manual,Petrol,2
32,Volkswagen,up!,8000,13127,2015,11,Manual,Petrol,2
33,Fiat,500,8000,45191,2017,9,Manual,Petrol,2
34,Citroen,C1,8050,20272,2016,5,Manual,Petrol,1
35,Vauxhall,Astra,8050,37435,2015,11,Manual,Diesel,3
36,Seat,Ibiza,8100,91225,2018,1,Manual,Petrol,1
37,Fiat,500,8100,21691,2016,4,Manual,Petrol,2
38,Fiat,500,8150,33011,2016,5,Manual,Petrol,3
39,DS,DS 3,8150,43589,2017,3,Manual,Petrol,2
40,Seat,Ibiza,8150,43658,2016,11,Manual,Petrol,2
41,Suzuki,Celerio,8150,5561,2018,3,Manual,Petrol,2
42,Dacia,Sandero Stepway,8200,37422,2016,11,Manual,Petrol,3
43,Ford,Focus,8200,52008,2016,9,Manual,Petrol,2
44,Kia,Picanto,8250,29356,2016,9,Manual,Petrol,4
45,Renault,Clio,8250,55341,2016,9,Manual,Diesel,3
46,Kia,Venga,8300,21015,2016,7,Manual,Diesel,1
47,Fiat,500,8300,28516,2016,4,Manual,Petrol,2
48,Smart,forfour,8300,7800,2018,9,Manual,Petrol,1
49,Toyota,AYGO,8350,34340,2018,3,Manual,Petrol,3
50,Ford,EcoSport,8350,68581,2016,3,Manual,Petrol,3
51,Fiat,500,8350,38247,2018,3,Manual,Petrol,3
52,Hyundai,i20,8350,58248,2016,11,Manual,Petrol,1
53,Fiat,500X,8400,42973,2016,3,Manual,Diesel,2
54,Fiat,500X,8400,48721,2016,9,Manual,Petrol,2
55,Ford,Fiesta,8400,36210,2016,3,Manual,Petrol,3
56,Peugeot,2008,8400,53506,2015,11,Manual,Diesel,3
57,Peugeot,308,8450,54579,2016,8,Manual,Diesel,2
58,Citroen,C4,8450,50775,2017,11,Manual,Diesel,1
59,Peugeot,308,8450,50305,2016,5,Manual,Diesel,2
60,Mazda,Mazda2,8450,41227,2016,7,Manual,Petrol,3
61,Ssangyong,Korando,8450,37400,2016,5,Manual,Diesel,3
62,Kia,Soul,8450,40876,2018,9,Manual,Petrol,1
63,Vauxhall,ADAM,8450,31212,2018,3,Manual,Petrol,1
64,MG,MG3,8450,17498,2018,7,Manual,Petrol,3
65,Citroen,C1,8500,16817,2019,3,Manual,Petrol,1
66,Vauxhall,Viva,8500,10675,2016,6,Manual,Petrol,1
67,Vauxhall,ADAM,8500,51909,2018,3,Manual,Petrol,1
68,Vauxhall,Corsa,8500,18927,2016,6,Manual,Petrol,2
69,Fiat,500,8500,14756,2019,3,Manual,Petrol,1
70,Fiat,500,8500,31217,2019,3,Manual,Petrol,3
71,Skoda,Citigo,8500,4763,2017,1,Manual,Petrol,2
72,Skoda,Citigo,8550,25428,2017,5,Manual,Petrol,1
73,Renault,Clio,8550,44150,2016,11,Manual,Petrol,3
74,Fiat,500,8550,33086,2018,7,Manual,Petrol,2
75,Smart,forfour,8550,5820,2015,4,Manual,Petrol,1
76,Toyota,AYGO,8600,15199,2018,12,Manual,Petrol,1
77,Kia,Picanto,8600,31586,2016,10,Manual,Petrol,2
78,Vauxhall,Viva,8600,23069,2018,11,Manual,Petrol,2
79,Vauxhall,Corsa,8600,34545,2017,1,Manual,Petrol,2
80,Fiat,500,8600,17036,2019,9,Manual,Petrol,1
81,Vauxhall,ADAM,8600,36676,2016,11,Manual,Petrol,4
82,Vauxhall,Corsa,8600,18276,2016,3,Manual,Petrol,3
83,Ford,Fiesta,8650,44933,2016,1,Manual,Petrol,3
84,Vauxhall,Mokka,8650,62194,2016,3,Manual,Diesel,3
85,Ssangyong,Tivoli,8650,30099,2017,9,Manual,Diesel,2
86,Kia,Picanto,8650,31990,2016,11,Manual,Petrol,1
